# Tx_arcsec,Ty_arcsec
5.176341860488915927e+02,-1.793764164284227718e+02
5.176393747514025563e+02,-1.794094688629298560e+02
5.176496461325129985e+02,-1.794752011891254710e+02
5.176647909505613825e+02,-1.795728752725980257e+02
5.176844925699630267e+02,-1.797014312583217190e+02
5.177083334945974684e+02,-1.798595013104043687e+02
5.177357951349499672e+02,-1.800454558777390446e+02
5.177662646801021538e+02,-1.802574463400119384e+02
5.177990361247557303e+02,-1.804934745635808611e+02
5.178333238929118352e+02,-1.807514329945451550e+02
5.178682745351530912e+02,-1.810291540039355027e+02
5.179029732375074673e+02,-1.813244732971654685e+02
5.179364664945484265e+02,-1.816352662989471582e+02
5.179677812355378137e+02,-1.819594805411866218e+02
5.179959323696565434e+02,-1.822951849430323250e+02
5.180199660890710902e+02,-1.826405767487210028e+02
5.180389581567840196e+02,-1.829940118677922953e+02
5.180520530570172468e+02,-1.833540003262530433e+02
5.180584720810780937e+02,-1.837192235070008621e+02
5.180575352361008754e+02,-1.840885304442838333e+02
5.180486795583577759e+02,-1.844609240703706234e+02
5.180314604763700572e+02,-1.848355572561895599e+02
5.180055708731166533e+02,-1.852117141505061397e+02
5.179708239630625712e+02,-1.855888055446002625e+02
5.179271585715276842e+02,-1.859663397370303244e+02
5.178746394963550301e+02,-1.863439236501621963e+02
5.178134297594755253e+02,-1.867212312892922625e+02
5.177437793768126539e+02,-1.870979961729279353e+02
5.176660094013159323e+02,-1.874739943177685859e+02
5.175804875543421986e+02,-1.878490269751159758e+02
5.174876110208127784e+02,-1.882229064379873478e+02
5.173877732147094548e+02,-1.885954489366813789e+02
5.172813529408662134e+02,-1.889664619792512781e+02
5.171686971560779966e+02,-1.893357317010123211e+02
5.170500945715936041e+02,-1.897030163936299516e+02
5.169257709532554372e+02,-1.900680410016532846e+02
5.167958802560515323e+02,-1.904304942123960700e+02
5.166604992520301494e+02,-1.907900263960425207e+02
5.165196266875423134e+02,-1.911462499339467342e+02
5.163731865952298676e+02,-1.914987425068337927e+02
5.162210357040343069e+02,-1.918470512728296171e+02
5.160629720183193285e+02,-1.921906935024368579e+02
5.158987467836600445e+02,-1.925291727111288367e+02
5.157280776690211042e+02,-1.928619884134160429e+02
5.155506614526094609e+02,-1.931886386717470714e+02
5.153661881944017296e+02,-1.935086287275279062e+02
5.151743535668980485e+02,-1.938214788483555537e+02
5.149748696059442636e+02,-1.941267313090676225e+02
5.147674741682183139e+02,-1.944239546132041880e+02
5.145519381552614959e+02,-1.947127488924850240e+02
5.143280700053707051e+02,-1.949927453467472844e+02
5.140957195499106547e+02,-1.952636124411907872e+02
5.138547802936907374e+02,-1.955250466296867842e+02
5.136051847578549996e+02,-1.957767733837640094e+02
5.133468947668964120e+02,-1.960185520719213912e+02
5.130799095735615083e+02,-1.962501705342872356e+02
5.128042595626645834e+02,-1.964714341685807426e+02
5.125199878637190523e+02,-1.966821747284136279e+02
5.122271579122584626e+02,-1.968822520737901698e+02
5.119258452651893663e+02,-1.970715411566854129e+02
5.116161301059145217e+02,-1.972499493320994191e+02
5.112980962970496535e+02,-1.974174166877706682e+02
5.109718336373759371e+02,-1.975739190846270219e+02
5.106374304771236439e+02,-1.977194770738413752e+02
5.102949723443335870e+02,-1.978541665543185388e+02
5.099445564873640251e+02,-1.979781171831948825e+02
5.095862912809772070e+02,-1.980915261714880558e+02
5.092202923416788849e+02,-1.981946700528467034e+02
5.088467016241111764e+02,-1.982879066716885745e+02
5.084656830275644097e+02,-1.983716785328274455e+02
5.080774340708113641e+02,-1.984465129251876476e+02
5.076821975023315758e+02,-1.985130252169800826e+02
5.072802508733963123e+02,-1.985719236617416072e+02
5.068719371768956421e+02,-1.986239818711965199e+02
5.064576437596115852e+02,-1.986700578944284246e+02
5.060378214811100293e+02,-1.987110702254028070e+02
5.056129821236869475e+02,-1.987479799838619670e+02
5.051836951874089436e+02,-1.987817913346216869e+02
