# a  b  c  d  mean_hmi_ab  mean_hmi_cd
0.813333 0.773333 0.366667 0.326667 107.913391 -271.051146
0.813333 0.780000 0.373333 0.320000 78.141804 -302.893766
0.813333 0.773333 0.373333 0.320000 75.806295 -269.345350
0.813333 0.746667 0.373333 0.320000 108.214226 -386.991876
0.813333 0.746667 0.360000 0.320000 91.496623 -483.256443
0.813333 0.740000 0.360000 0.320000 64.658033 -467.566941
0.813333 0.733333 0.360000 0.313333 72.639844 -336.969790
0.806667 0.726667 0.353333 0.313333 104.365407 -351.140013
0.806667 0.726667 0.353333 0.313333 108.266629 -377.827911
0.806667 0.726667 0.346667 0.306667 77.278074 -428.421544
0.800000 0.713333 0.353333 0.306667 83.883114 -373.461433
0.800000 0.713333 0.373333 0.306667 144.116594 -314.651094
0.793333 0.713333 0.380000 0.306667 178.033788 -258.093190
0.780000 0.706667 0.373333 0.300000 107.330126 -227.474026
0.780000 0.706667 0.360000 0.300000 88.526188 -239.690700
0.780000 0.706667 0.346667 0.300000 83.405299 -273.587307
0.766667 0.706667 0.353333 0.300000 30.866482 -249.644487
0.766667 0.713333 0.353333 0.306667 25.783602 -212.499943
0.773333 0.713333 0.353333 0.306667 39.662411 -194.272123
0.773333 0.720000 0.346667 0.306667 38.727787 -227.987427
0.780000 0.720000 0.353333 0.306667 42.338948 -307.226161
0.786667 0.726667 0.353333 0.306667 49.378490 -337.490523
0.786667 0.726667 0.360000 0.306667 45.732444 -361.085056
0.786667 0.726667 0.360000 0.306667 38.277253 -327.329662
0.780000 0.726667 0.366667 0.300000 37.642013 -323.538640
0.773333 0.726667 0.373333 0.280000 34.039507 -333.758551
0.773333 0.713333 0.373333 0.273333 44.976087 -301.251621
0.780000 0.713333 0.373333 0.280000 51.636826 -331.215682
0.780000 0.720000 0.366667 0.286667 56.046613 -328.839785
0.780000 0.726667 0.360000 0.293333 57.710393 -384.941821
0.780000 0.733333 0.353333 0.300000 54.575391 -568.654823
0.780000 0.746667 0.360000 0.306667 49.918647 -558.617308
0.786667 0.753333 0.366667 0.313333 47.088731 -521.465918
0.793333 0.760000 0.366667 0.320000 45.410637 -532.833805
0.793333 0.766667 0.366667 0.326667 34.959268 -587.523750
0.800000 0.766667 0.366667 0.326667 36.352325 -585.237059
0.806667 0.773333 0.373333 0.333333 33.777705 -595.376949
0.813333 0.780000 0.380000 0.333333 33.717442 -677.504923
0.820000 0.786667 0.386667 0.333333 33.278041 -783.929445
0.826667 0.786667 0.393333 0.326667 37.963895 -890.935018
0.833333 0.786667 0.400000 0.326667 52.714912 -832.447428
0.840000 0.793333 0.406667 0.333333 70.350110 -811.911950
0.846667 0.793333 0.400000 0.340000 97.289016 -824.319759
0.846667 0.800000 0.386667 0.346667 113.676008 -793.800650
0.853333 0.800000 0.386667 0.353333 121.014784 -753.971499
0.853333 0.806667 0.393333 0.353333 130.331411 -613.619905
0.853333 0.813333 0.393333 0.360000 98.064170 -511.413464
0.860000 0.820000 0.400000 0.366667 80.781929 -484.836403
0.873333 0.820000 0.400000 0.366667 88.639834 -475.011895
0.880000 0.746667 0.406667 0.366667 68.690331 -576.894817
0.786667 0.746667 0.406667 0.366667 50.243872 -635.668587
0.793333 0.746667 0.366667 0.353333 60.418860 -528.425228
0.786667 0.746667 0.380000 0.353333 70.170193 -663.471781
0.786667 0.746667 0.386667 0.360000 75.452482 -647.418489
0.786667 0.753333 0.393333 0.360000 61.221610 -597.159643
0.786667 0.753333 0.400000 0.360000 78.917149 -515.603739
0.786667 0.753333 0.406667 0.360000 115.283116 -338.623227
0.786667 0.753333 0.413333 0.366667 116.980292 -301.990751
0.793333 0.760000 0.413333 0.373333 92.177923 -252.410299
0.793333 0.760000 0.420000 0.380000 91.737419 -362.852402
0.793333 0.760000 0.420000 0.380000 85.620929 -476.979672
0.793333 0.766667 0.420000 0.386667 100.719364 -372.613528
0.800000 0.766667 0.420000 0.386667 110.302920 -212.708523
0.800000 0.766667 0.420000 0.380000 116.898502 -162.754893
0.800000 0.773333 0.420000 0.373333 121.860195 -162.264049
0.806667 0.773333 0.420000 0.373333 93.948918 -147.837761
0.806667 0.773333 0.420000 0.373333 67.568171 -92.461684
0.813333 0.773333 0.420000 0.380000 86.852977 -53.235220
0.813333 0.766667 0.426667 0.380000 81.934482 -44.625318
0.820000 0.766667 0.433333 0.386667 66.357002 -52.369335
0.826667 0.760000 0.433333 0.386667 68.414044 -82.251987
0.813333 0.766667 0.433333 0.393333 89.357733 -101.718277
0.806667 0.766667 0.433333 0.393333 193.135246 -64.472874
0.800000 0.766667 0.433333 0.393333 350.681714 -32.079611
0.793333 0.760000 0.433333 0.400000 570.396780 -14.268896
0.793333 0.760000 0.433333 0.400000 708.757638 -8.332101
0.786667 0.746667 0.433333 0.400000 763.507946 -7.215021
0.786667 0.740000 0.433333 0.400000 799.065904 -12.323801
0.780000 0.733333 0.433333 0.400000 853.708301 -7.751890
0.773333 0.726667 0.433333 0.400000 881.708461 -5.801677
0.773333 0.720000 0.433333 0.400000 834.393979 -12.280646
0.773333 0.713333 0.426667 0.393333 780.151154 -17.708647
0.766667 0.680000 0.426667 0.393333 667.933329 -14.646465
0.766667 0.660000 0.426667 0.393333 540.022645 -22.727747
0.746667 0.660000 0.426667 0.393333 534.858247 -27.919091
0.726667 0.686667 0.426667 0.400000 793.197192 -27.748284
0.720000 0.660000 0.426667 0.393333 743.988732 -42.162091
0.720000 0.660000 0.426667 0.393333 783.282951 -46.309397
0.726667 0.646667 0.433333 0.393333 704.955839 -83.997144
0.720000 0.640000 0.433333 0.393333 738.188916 -128.401160
0.720000 0.633333 0.433333 0.393333 707.705442 -83.937374
0.713333 0.633333 0.433333 0.393333 663.611855 -68.298334
0.673333 0.633333 0.426667 0.386667 627.630024 -54.245748
0.666667 0.593333 0.426667 0.386667 675.057057 -41.453315
0.640000 0.580000 0.426667 0.380000 706.079252 -24.722657
0.633333 0.593333 0.426667 0.380000 737.371442 -40.583710
0.633333 0.586667 0.420000 0.373333 645.085339 -56.039926
